Block;Run;Comments;Temperature cooling drum;dry coat weight 8 passes;length of roll;Tochter;trimming;number of layers;U/W Ten. Average 8 layers;R/W Ten. Average 8 layers;boat power;Std.Abw. boat power;resistivity;wire feed rate;solid content of ink (release coat);normalized wire feed rate;cylinder;evaporation pressure;erwartete Qualitätsstufe;d10;d50;d90;span;release coat in final product;release coat / Oberfläche;Al(0);toluene (bath);Gloss 20°;Dullness;hiding dE110°;L*-15°;L*15°;L*25°;L*45°;L*75°;L*110°;a*-15°;a*15°;a*25°;a*45°;a*75;a*110°;b*-15°;b*15°;b*25°;b*45°;b*75°;b*110°;Flop;STEM average particle thickness;STEM T-span;particles < 12 nm;particles < 20 nm;particles > 35 nm;Rheology flow point;Rheology LVE area;yield in production;GC (foil) Aceton;GC (foil) Butanon;GC (foil) Toluol
Block 1;60;7-341 6-10460;0;1.83;40000;Tochter1;nein;8;540.6;365.6;8.893;0.535;3.095;111.91;6.26;1.573;alt;0.00062;;10.35;22;38.6;1.28;5.5;;71.9;;254;;9.9;137.5;109.8;;24.3;;10.9;0.8;0.1;;0.5;;0.4;2.3;1.5;;1.8;;0.8;28.37;25.4;0.17;0;2.9;4.2;;;;;;
Block 1;61;7-341 6-10517;0;1.83;40000;Tochter2;nein;8;540.6;365.6;8.893;0.535;3.095;111.91;6.26;1.573;alt;0.00062;;10.2;21.6;38.5;1.29;5.7;;72.1;;266;;29.8;135.4;108.3;;23.9;;10.8;0.5;0.1;;0.5;;0.4;3.1;2.9;;2.1;;1;28.32;25.3;0.19;0;2.5;5.9;;;;;;
Block 1;62;7-342 6-10392;0;1.79;40000;Tochter1;nein;8;543.75;368.75;8.834;0.489;3.106;114.872;6.23;1.562;alt;0.00067;;10.2;22.5;39.5;1.3;4.6;;72.5;;244;;7.8;139.2;112.6;;25;;11.4;0.7;-0.1;;0.5;;0.3;0.9;0.4;;1.8;;0.7;28.4;23.8;0.22;0.6;5.7;6.3;;;;;;
Block 1;63;7-342 6-10459;0;1.79;40000;Tochter2;nein;8;543.75;368.75;8.834;0.489;3.106;114.872;6.23;1.562;alt;0.00067;;10.1;21.7;38.1;1.27;5.1;;72.6;;276;;28.2;134.4;108.3;;28.7;;17.2;0.5;-0.6;;0.1;;0.4;2.9;-3.7;;-5.1;;0.9;22.44;25.7;0.21;0;1.5;3.7;;;;;;
Block 1;64;7-509 6-11421;0;2.04;40000;Tochter1;nein;8;525;359.4;8.757;0.518;3.115;117.353;8.72;1.577;alt;0.00145;;10.4;22.1;38.45;1.24;5.5;;71.9;;229;;8.7;137.2;111.4;;28.1;;13.1;0.3;0.5;;0.3;;0.3;2;0.7;;1.4;;1.5;24.86;25.3;0.21;0.7;4.45;4.79;982.9;2990.8;;;;
Block 1;65;7-509 6-11343;0;2.04;40000;Tochter2;nein;8;525;359.4;8.757;0.518;3.115;117.353;8.72;1.577;alt;0.00145;;9.6;21.15;36.77;1.28;5.8;;71.9;;106.82;63.94;9.4;138.6;110.7;;27.9;;12.7;0.76;-0.1;0.6;0.2;;0.37;1.17;0.8;1.23;1.3;0.84;1;24.93;25;0.22;0;4.71;3.14;789.4;2126.8;;;;
Block 1;66;7-510 6-11665;0;2.1;40000;Tochter1;nein;8;518.75;350;8.918;0.594;2.973;117.532;8.72;1.58;alt;0.00136;;10.6;22.2;38.8;1.26;5.8;;71.6;;227.6;438.26;;138.47;111.6;63.73;27.9;15.43;12.77;0.7;-0.11;0.24;0.39;;0.3;0.18;-1.3;1.04;1.57;0.69;0.89;25.17;24.7;0.2;0.8;9.24;3.92;914.9;3046.5;;;;
Block 1;67;7-510 6-11750;0;2.1;40000;Tochter2;nein;8;518.75;350;8.918;0.594;2.973;117.532;8.72;1.58;alt;0.00136;;9.4;20.1;35.2;1.26;5.1;;71.7;;231.37;64.08;10.17;138.79;110.98;60.8;26.07;14.68;12.19;0.58;-0.15;0.68;0.48;0.67;0.3;1.2;1;2.36;1.8;0.75;1;26.68;24.7;0.23;0.4;4.68;6.83;1078.3;2660.8;;;;
Block 1;68;7-511 6-11477;0;2.13;40000;Tochter1;nein;8;518.75;350;8.821;0.468;3.096;119.666;8.74;1.584;alt;0.00134;;10.2;22.5;40.4;1.33;5.6;;72.1;;219.1;;7.8;139.1;111.8;;30.6;;13.5;0.4;-0.3;;-0.2;;0.3;0.6;0.3;;0.6;;1.1;23.11;26.2;0.27;0.3;7.07;5.47;1003;3387;;;;
Block 1;69;7-511 6-11667;0;2.13;40000;Tochter2;nein;8;518.75;350;8.821;0.468;3.096;119.666;8.74;1.584;alt;0.00134;;10.49;21.8;38.5;1.26;5.7;;72.1;;229;63.54;;137.4;110.6;63.52;29.09;15.92;13.07;0.6;0.01;0.2;0.19;;0.3;1.2;-0.4;0.74;1.4;0.98;1.09;23.92;24.5;0.25;0.4;6.18;5.02;1064.4;2889.1;;;;
